,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS!2,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
1,220.497287,39.715065,220.497287,39.715065,1,+,6,J144159.34+394254.2,,2003.2317,3,24.65,1.035,23.891,0.40700000000000003,22.186999999999998,0.153,20.495,0.053,19.653,0.084,,,,
2,220.482415,39.700193,220.482415,39.700193,1,,6,J144155.77+394200.6,,2003.2317,3,24.578000000000003,0.872,23.546,0.263,24.164,0.59,22.766,0.307,20.724,0.17800000000000002,,,,
4,220.511518,39.733417,220.51151800000002,39.733416999999996,1,+,6,J144202.76+394400.2,,2003.2317,3,23.453000000000003,0.5,23.025,0.159,21.888,0.092,21.818,0.127,21.708000000000002,0.349,,,,
15,220.399002,39.673384,220.399002,39.673384000000006,1,,6,J144135.76+394024.1,,2003.2317,3,22.746,0.261,25.743000000000002,0.379,24.581,0.54,24.768,0.493,23.639,0.35,,,,
18,220.383393,39.689092,220.383393,39.689091999999995,1,+,6,J144132.01+394120.7,,2003.2317,3,24.555999999999997,0.711,22.59,0.10099999999999999,21.274,0.05,20.089000000000002,0.027999999999999997,19.455,0.05,,,,
19,220.375452,39.670384,220.375452,39.670384000000006,1,+,6,J144130.10+394013.3,,2003.2317,3,23.413,0.418,23.465999999999998,0.2,22.763,0.171,22.704,0.22699999999999998,22.655,0.45399999999999996,,,,
20,220.381699,39.668071,220.38169900000003,39.668071000000005,1,+,6,J144131.60+394005.0,,2003.2317,3,23.535999999999998,0.461,22.32,0.079,20.744,0.033,19.739,0.021,19.259,0.042,,,,
23,220.401729,39.671616,220.40172900000002,39.671616,1,+,6,J144136.41+394017.8,,2003.2317,3,24.787,0.682,22.467,0.08900000000000001,21.101999999999997,0.043,20.27,0.031,19.825,0.066,,,,
28,220.317498,39.657787,220.317498,39.657787,1,+,6,J144116.19+393928.0,,2003.226,3,22.259,0.242,21.278000000000002,0.040999999999999995,20.459,0.033,20.171,0.034,19.84,0.099,,,,
31,220.317209,39.665473,220.317209,39.665473,1,+,6,J144116.13+393955.7,,2003.226,3,24.18,0.987,24.345,0.48200000000000004,22.074,0.132,21.246,0.08900000000000001,21.671999999999997,0.49200000000000005,,,,
32,220.32105,39.663897,220.32105,39.663897,1,+,6,J144117.05+393950.0,,2003.226,3,24.024,0.861,23.808000000000003,0.313,22.343000000000004,0.155,22.435,0.22899999999999998,22.767,0.7140000000000001,,,,
33,220.315248,39.662697,220.315248,39.662696999999994,1,,6,J144115.65+393945.7,,2003.226,3,25.243000000000002,0.925,23.52,0.27899999999999997,22.837,0.264,22.305,0.23,22.397,0.757,,,,
37,220.283783,39.655333,220.283783,39.655333,1,+,6,J144108.10+393919.1,,2003.226,3,25.145,0.934,22.465999999999998,0.11599999999999999,21.448,0.079,21.002,0.07400000000000001,20.748,0.24,,,,
38,220.285088,39.677046,220.285088,39.677046000000004,1,,6,J144108.42+394037.3,,2003.226,3,25.324,0.7509999999999999,22.86,0.153,24.189,0.6409999999999999,24.79,0.644,22.269000000000002,0.6609999999999999,,,,
42,220.283822,39.665366,220.28382200000001,39.665366,1,,6,J144108.11+393955.3,,2003.226,3,24.647,0.905,23.131,0.185,24.715999999999998,0.715,23.291999999999998,0.439,22.394000000000002,0.66,,,,
46,220.283504,39.673101,220.283504,39.673101,1,,6,J144108.04+394023.1,,2003.226,3,23.541999999999998,0.594,24.715999999999998,0.527,24.561,0.701,22.319000000000003,0.204,21.395,0.359,,,,
50,220.295129,39.661438,220.295129,39.661438000000004,1,+,6,J144110.83+393941.1,*,2003.226,3,18.119,0.013999999999999999,16.980999999999998,0.004,16.61,0.004,16.475,0.004,16.433,0.009000000000000001,,,,
51,220.304475,39.676017,220.304475,39.676017,1,+,6,J144113.07+394033.6,*,2003.226,3,20.317,0.054000000000000006,19.338,0.011000000000000001,19.000999999999998,0.011000000000000001,18.785,0.012,18.782,0.040999999999999995,-0.00066,,,
52,220.305533,39.671593,220.305533,39.671593,1,+,6,J144113.32+394017.7,*,2003.226,3,20.531999999999996,0.062,20.525,0.023,20.732,0.039,20.48,0.042,20.430999999999997,0.162,,,,
56,220.314413,39.666579,220.314413,39.666579,1,+,6,J144115.45+393959.6,,2003.226,3,22.603,0.308,22.983,0.16,22.031999999999996,0.11800000000000001,21.706,0.121,21.518,0.39799999999999996,,,,
58,220.315591,39.668254,220.315591,39.668254,1,+,6,J144115.74+394005.7,,2003.226,3,26.105,0.452,23.78,0.304,22.726999999999997,0.214,22.02,0.158,21.344,0.348,,,,
60,220.293477,39.685357,220.293477,39.685357,1,+,6,J144110.43+394107.2,*,2003.2317,3,18.33,0.013000000000000001,17.278,0.005,16.959,0.005,16.827,0.005,16.84,0.009000000000000001,,,,
61,220.30231,39.683499,220.30231,39.683499,1,+,6,J144112.55+394100.5,,2003.2317,3,24.244,0.6779999999999999,23.645,0.24,22.669,0.162,22.616999999999997,0.231,21.748,0.327,,,,
63,220.334432,39.666828,220.334432,39.666828,1,+,6,J144120.26+394000.5,*,2003.226,3,21.052,0.09300000000000001,18.709,0.008,17.545,0.005,17.022000000000002,0.005,16.726,0.01,,,,
64,220.334812,39.663592,220.334812,39.663592,1,,6,J144120.35+393948.9,,2003.226,3,22.19,0.22899999999999998,24.926,0.5379999999999999,23.973000000000003,0.5529999999999999,25.114,0.542,23.371,0.629,,,,
65,220.326711,39.669685,220.326711,39.669685,1,+,6,J144118.41+394010.8,,2003.226,3,23.475,0.612,23.188000000000002,0.18899999999999997,22.430999999999997,0.16699999999999998,22.163,0.18100000000000002,21.928,0.531,,,,
