Tile_id,Name,FilterName,Alpha_J2000,Delta_J2000,FWHM,Depth2FWHM5s,Depth3arc5s,Deptharcsec2,Zero_Point,Zero_Point_Error,Zero_Point_Procedure,TExposed,Efectime,NCombined,Datasum,Observation_Dates,Flag,Flag_Date
25999,1000001-JPLUS-01492-v2_uJAVA_swp,uJAVA,116.7072,40.1895,1.05881,22.4748211,22.0966377,23.1583042,21.1637573,0.0412646011,5,777.090027,729.73999,6,3081110642,2015-11-14 03:03:16 2015-11-14 03:07:04 2015-11-14 03:10:51 2017-01-06 01:39:44 2017-01-06 01:41:07 2017-01-06 01:42:28,None,None
26005,1000001-JPLUS-01492-v2_J0378_swp,J0378,116.7072,40.1895,1.40414,21.3147221,21.243021,22.3046856,20.5060463,0.0315352008,5,452.100006,428.790009,6,4065886269,2015-11-14 03:14:53 2015-11-14 03:16:15 2015-11-14 03:17:36 2017-01-06 02:00:25 2017-01-06 02:02:21 2017-01-06 02:04:18,None,None
26008,1000001-JPLUS-01492-v2_J0395_swp,J0395,116.7072,40.1895,1.32135999,21.5242004,21.3865242,22.4481907,20.4225311,0.0336069986,5,581.789978,542.700012,6,1957886321,2015-11-14 03:21:43 2015-11-14 03:23:48 2015-11-14 03:26:01 2017-01-06 02:13:10 2017-01-06 02:15:14 2017-01-06 02:17:18,None,None
26002,1000001-JPLUS-01492-v2_J0410_swp,J0410,116.7072,40.1895,1.30129004,21.5191765,21.3648834,22.426548,21.3906784,0.0238706991,5,240.990005,230.880005,6,3986109974,2015-11-14 03:29:32 2015-11-14 03:30:31 2015-11-14 03:31:33 2017-01-06 01:54:14 2017-01-06 01:55:24 2017-01-06 01:56:35,None,None
26004,1000001-JPLUS-01492-v2_J0430_swp,J0430,116.7072,40.1895,1.21213996,21.6013355,21.3699894,22.431654,21.4693375,0.0227575991,5,231.690002,219.919998,6,152189873,2015-11-14 03:33:12 2015-11-14 03:34:06 2015-11-14 03:35:26 2017-01-06 01:43:55 2017-01-06 01:45:04 2017-01-06 01:46:13,None,None
26009,1000001-JPLUS-01492-v2_gSDSS_swp,gSDSS,116.7072,40.1895,1.31862998,22.5399609,22.4000397,23.4617062,23.6494827,0.0271767993,5,201.389999,183.160004,15,739674395,2015-11-14 04:00:19 2015-11-14 04:07:24 2015-11-14 04:08:16 2015-12-03 00:45:15 2015-12-03 00:46:51 2015-12-03 00:47:34 2015-12-06 23:30:27 2015-12-06 23:31:09 2015-12-06 23:31:50 2015-12-19 22:09:46 2015-12-19 22:10:27 2015-12-19 22:11:08 2017-01-06 02:10:45 2017-01-06 02:11:29 2017-01-06 02:12:12,None,None
26003,1000001-JPLUS-01492-v2_J0515_swp,J0515,116.7072,40.1895,1.26929998,21.5694237,21.3881054,22.4497719,21.5935192,0.0259330999,5,226.889999,215.850006,6,3466436733,2015-11-14 03:36:58 2015-11-14 03:37:57 2015-11-14 03:38:55 2017-01-06 01:50:59 2017-01-06 01:52:03 2017-01-06 01:53:06,None,None
25998,1000001-JPLUS-01492-v2_rSDSS_swp,rSDSS,116.7072,40.1895,1.20811999,22.5220261,22.2870731,23.3487396,23.6203194,0.0204553995,5,284.76001,268.109985,15,2464459259,2015-11-14 04:09:15 2015-11-14 04:09:54 2015-11-14 04:10:31 2015-12-03 00:41:49 2015-12-03 00:43:32 2015-12-03 00:44:21 2015-12-06 23:27:57 2015-12-06 23:28:46 2015-12-06 23:29:34 2015-12-19 22:07:13 2015-12-19 22:08:04 2015-12-19 22:08:54 2017-01-06 01:58:00 2017-01-06 01:58:43 2017-01-06 01:59:26,None,None
26006,1000001-JPLUS-01492-v2_J0660_swp,J0660,116.7072,40.1895,1.23345006,22.0895443,21.8771191,22.9387856,21.054945,0.0169431008,5,969.390015,942.340027,6,2483889746,2015-11-14 03:40:20 2015-11-14 03:45:12 2015-11-14 03:49:59 2017-01-06 02:06:28 2017-01-06 02:07:50 2017-01-06 02:09:12,None,None
26000,1000001-JPLUS-01492-v2_iSDSS_swp,iSDSS,116.7072,40.1895,1.40838003,21.3994408,21.3310127,22.3926792,23.2859993,0.0171539001,5,94.7399979,91.7200012,6,1735055788,2015-11-14 04:11:43 2015-11-14 04:12:30 2015-11-14 04:13:14 2017-01-06 01:37:44 2017-01-06 01:38:18 2017-01-06 01:38:53,None,None
26001,1000001-JPLUS-01492-v2_J0861_swp,J0861,116.7072,40.1895,1.11682999,20.9797173,20.6594582,21.7211227,21.5532341,0.00618183985,5,282.299988,277.299988,6,362781975,2015-11-14 03:55:35 2015-11-14 03:56:54 2015-11-14 03:58:16 2017-01-06 01:47:37 2017-01-06 01:48:42 2017-01-06 01:49:45,None,None
26007,1000001-JPLUS-01492-v2_zSDSS_swp,zSDSS,116.7072,40.1895,1.23247004,20.918005,20.7047176,21.7663841,22.7331238,0.00644177012,5,143.190002,136.449997,6,321993804,2015-11-14 04:14:30 2015-11-14 04:15:25 2015-11-14 04:16:19 2017-01-06 02:19:37 2017-01-06 02:20:19 2017-01-06 02:20:59,None,None
27069,1000001-JPLUS-00421-v2_uJAVA_swp,uJAVA,256.5934,24.8733,1.24918997,22.2990952,22.1004372,23.1621037,21.0780907,0.0494173989,5,621,618.539978,3,3264921570,2016-07-03 22:25:06 2016-07-03 22:29:02 2016-07-03 22:32:58,None,None
29691,1000001-JPLUS-00421-v2_J0378_swp,J0378,256.5934,24.8733,1.30887997,21.8923798,21.7444019,22.8060665,20.4163494,0.036244601,5,660,657.789978,3,587278982,2016-07-03 22:54:49 2016-07-03 22:59:04 2016-07-03 23:03:12,None,None
31259,1000001-JPLUS-00421-v2_J0395_swp,J0395,256.5934,24.8733,1.29556,21.2024822,21.0433979,22.1050625,20.3317318,0.0372418016,5,294,293.559998,3,4235836058,2016-07-03 23:24:58 2016-07-03 23:27:04 2016-07-03 23:29:09,None,None
29166,1000001-JPLUS-00421-v2_J0410_swp,J0410,256.5934,24.8733,1.22033,21.1660347,20.9419994,22.0036659,21.2826748,0.0286065992,5,117,116.779999,3,2659792033,2016-07-03 22:48:34 2016-07-03 22:49:40 2016-07-03 22:50:47,None,None
27593,1000001-JPLUS-00421-v2_J0430_swp,J0430,256.5934,24.8733,1.12228,21.2791367,20.9641609,22.0258274,21.3799973,0.0279443003,5,111,110.790001,3,1827760188,2016-07-03 22:36:57 2016-07-03 22:38:03 2016-07-03 22:39:07,None,None
