NUMBER,X_IMAGE,Y_IMAGE,X_WORLD,Y_WORLD,FLUX_APER,FLUXERR_APER,MAG_APER,MAGERR_APER,THRESHOLD,FLUX_RADIUS,FLAGS,NITER_MODEL
1,161.2009,81.3464,213.93416838,52.509523256,238.7714,0.5484717,-5.945,0.0025,0.1480887,5.747,0,41
2,1509.0299,40.8652,214.03052075,52.44807199,42262.24,6.408332,-11.5649,0.0002,0.1480887,3.974,4,108
3,686.047,21.7964,213.96853929,52.483635936,208.3679,0.5208911,-5.7971,0.0027,0.1480887,1.98,0,48
4,1960.5981,19.2107,214.06215419,52.427103071,24.0269,0.3039111,-3.4517,0.0137,0.1480887,4.483,16,64
5,355.1293,22.8393,213.94422133,52.498318391,10.31646,0.2811792,-2.5338,0.0296,0.1480887,2.974,0,34
6,4531.1855,14.9708,214.25030374,52.312903999,12.60366,0.2850974,-2.7512,0.0246,0.1480887,2.582,0,30
7,3077.1528,16.2289,214.14391523,52.377485345,5.506123,0.2730123,-1.8521,0.0538,0.1480887,1.978,0,57
8,78.4979,15.056,213.92325157,52.510199227,11.82892,0.2820399,-2.6824,0.0259,0.1480887,2.009,0,46
9,4154.7954,14.9978,214.22277225,52.329617232,2.878994,0.267256,-1.1481,0.1008,0.1480887,3.149,2,38
10,3059.1013,5.3716,214.14180265,52.377799102,4.26279,0.2697558,-1.5742,0.0687,0.1480887,1.892,16,59
11,838.3251,4.6185,213.97851131,52.476127642,6.362176,0.2742732,-2.009,0.0468,0.1480887,2.451,16,33
12,3294.8599,4.5147,214.15902695,52.367305329,3.081196,0.2670978,-1.2218,0.0941,0.1480887,1.747,16,69
13,203.2015,2.8575,213.9315651,52.504137746,12.335,0.283652,-2.7278,0.025,0.1480887,2.582,24,36
14,2148.0261,3.4536,214.07478342,52.418093499,3.322223,0.2688434,-1.3036,0.0879,0.1480887,2.365,16,22
15,2082.0042,2.8727,214.06988996,52.420992167,7.408782,0.2753544,-2.1744,0.0404,0.1480887,2.03,24,38
16,4754.1685,2.5528,214.26570334,52.30244464,2.837238,0.2624098,-1.1322,0.1004,0.1480887,1.94,24,62
17,233.8445,1.9135,213.93375676,52.502740504,4.100671,0.2488855,-1.5321,0.0659,0.1480887,2.157,24,26
18,2853.1799,14.0813,214.12732984,52.387319718,2.977079,0.26822,-1.1845,0.0978,0.1480887,1.542,0,41
19,2215.1538,30.5349,214.08168252,52.41633459,30.14408,0.3135221,-3.698,0.0113,0.1480887,1.878,0,54
20,1911.231,27.5671,214.05913242,52.429664668,6.433518,0.274655,-2.0211,0.0464,0.1480887,4.583,0,48
21,2743.4202,15.7772,214.11939898,52.392261523,3.082741,0.268411,-1.2223,0.0946,0.1480887,2.633,0,74
22,1637.5281,33.221,214.03941775,52.442039404,15.44041,0.2896412,-2.9716,0.0204,0.1480887,3.22,0,16
23,3103.6191,39.2954,214.14753182,52.377345668,40.32789,0.3284729,-4.014,0.0088,0.1480887,2.881,0,36
24,4837.4434,22.4829,214.2732373,52.299637328,3.3861,0.2684363,-1.3242,0.0861,0.1480887,2.646,0,67
25,4879.9834,35.9125,214.27732157,52.298348414,46.55986,0.3377578,-4.17,0.0079,0.1480887,2.021,0,40
26,3114.3267,25.9282,214.14734598,52.376271654,4.03279,0.2690812,-1.514,0.0725,0.1480887,2.617,0,18
27,3489.7307,26.4846,214.17490528,52.359645774,4.208328,0.2696578,-1.5603,0.0696,0.1480887,1.65,0,30
28,4466.1636,44.9774,214.24772867,52.317134683,18.58383,0.2948582,-3.1728,0.0172,0.1480887,3.594,0,47
